dataset	model	run	windows_size	strategy	mask_ratio	epochs	learning_rate	batch	precision	recall	f1
conll2003	FacebookAI/roberta-base	2	3	windows	0.03	7	5e-06	16	0.9156626506024096	0.9284702549575071	0.922021978021978
conll2003	FacebookAI/roberta-base	1	3	windows	0.05	7	5e-06	16	0.9160118735812817	0.9288243626062322	0.9223736263736263
conll2003	FacebookAI/roberta-base	2	3	windows	0.05	7	5e-06	16	0.9149196366177498	0.9272308781869688	0.9210341188884981
conll2003	FacebookAI/roberta-base	1	3	windows	0.05	7	5e-06	16	0.9155446756425949	0.9270538243626062	0.9212633060614059
conll2003	FacebookAI/roberta-base	2	3	windows	0.05	7	5e-06	16	0.9162733787799335	0.9281161473087819	0.9221567420177676
conll2003	FacebookAI/roberta-base	1	3	windows	0.1	7	5e-06	16	0.9134615384615384	0.9251062322946175	0.9192470091484869
conll2003	FacebookAI/roberta-base	2	3	windows	0.1	7	5e-06	16	0.9173654786862334	0.9297096317280453	0.9234963067182552
conll2003	FacebookAI/roberta-base	1	3	windows	0.2	7	5e-06	16	0.9140611353711791	0.9265226628895185	0.9202497142354699
conll2003	FacebookAI/roberta-base	2	3	windows	0.2	7	5e-06	16	0.9119189094722125	0.9238668555240793	0.9178540017590149
conll2003	FacebookAI/roberta-base	1	3	windows	0.3	7	5e-06	16	0.9086143630962782	0.9206798866855525	0.9146073344472782
conll2003	FacebookAI/roberta-base	2	3	windows	0.3	7	5e-06	16	0.9145658263305322	0.9249291784702549	0.9197183098591548
conll2003	FacebookAI/roberta-base	1	3	windows	0.4	7	5e-06	16	0.9109205460273013	0.9215651558073654	0.9162119345185706
conll2003	FacebookAI/roberta-base	2	3	windows	0.4	7	5e-06	16	0.9099633571802478	0.9233356940509915	0.9166007557781879
conll2003	FacebookAI/roberta-base	1	3	windows	0.5	7	5e-06	16	0.9110799929984247	0.9215651558073654	0.9162925798785319
conll2003	FacebookAI/roberta-base	2	3	windows	0.5	7	5e-06	16	0.9106643356643357	0.9222733711048159	0.9164320900774103
conll2003	FacebookAI/roberta-base	1	3	windows	0.6	7	5e-06	16	0.9100315678709224	0.9187322946175638	0.9143612334801762
conll2003	FacebookAI/roberta-base	2	3	windows	0.6	7	5e-06	16	0.9122499122499123	0.9203257790368272	0.9162700511193372
conll2003	FacebookAI/roberta-base	1	3	windows	0.7	7	5e-06	16	0.9068704972764013	0.9137747875354107	0.9103095511067995
conll2003	FacebookAI/roberta-base	2	3	windows	0.7	7	5e-06	16	0.9096184279936698	0.915899433427762	0.9127481252756948
conll2003	FacebookAI/roberta-base	1	3	windows	0.8	7	5e-06	16	0.9078528475415635	0.9088172804532578	0.9083348079985843
conll2003	FacebookAI/roberta-base	2	3	windows	0.8	7	5e-06	16	0.907283603096411	0.9130665722379604	0.9101659018708084
conll2003	FacebookAI/roberta-base	1	3	windows	0.9	7	5e-06	16	0.9031571479247961	0.9015580736543909	0.9023569023569024
conll2003	FacebookAI/roberta-base	2	3	windows	0.9	7	5e-06	16	0.9007795889440113	0.9001416430594901	0.9004605030109811
conll2003	FacebookAI/roberta-base	1	3	windows	1.0	7	5e-06	16	0.7686274509803922	0.10410764872521247	0.1833775144238266
conll2003	FacebookAI/roberta-base	2	3	windows	1.0	7	5e-06	16	0.7224770642201835	0.11154390934844192	0.19325153374233128
conll2003	FacebookAI/roberta-base	1	3	outside	0.01	7	5e-06	16	0.9140366172624237	0.9281161473087819	0.9210225775278925
conll2003	FacebookAI/roberta-base	2	3	outside	0.01	7	5e-06	16	0.9140911471974856	0.9268767705382436	0.9204395604395604
conll2003	FacebookAI/roberta-base	1	3	outside	0.03	7	5e-06	16	0.9135371179039301	0.9259915014164306	0.9197221489492657
conll2003	FacebookAI/roberta-base	2	3	outside	0.03	7	5e-06	16	0.9162742019884877	0.9300637393767706	0.9231174764959142
conll2003	FacebookAI/roberta-base	1	3	outside	0.05	7	5e-06	16	0.9162733787799335	0.9281161473087819	0.9221567420177676
conll2003	FacebookAI/roberta-base	2	3	outside	0.05	7	5e-06	16	0.9160251924422673	0.9270538243626062	0.9215065117916227
conll2003	FacebookAI/roberta-base	1	3	outside	0.05	7	5e-06	16	0.9138171667829728	0.9274079320113314	0.9205623901581722
conll2003	FacebookAI/roberta-base	2	3	outside	0.05	7	5e-06	16	0.9159237895472819	0.9277620396600567	0.9218049080833846
